HD 168443 b,2424.39509
HD 168746 b,85.8141
HD 1690 b,2793.7257
HD 169830 b,804.4237
HD 170469 b,209.7678
HD 17092 b,3219.6179
HD 171028 b,832.7146
HD 173416 b,585.1221
HD 174205 b,1334.87931
HD 175541 b,190.06234
HD 175607 b,8.98
HD 17674 b,276.5121
HD 176986 b,5.74
HD 176986 c,9.18
HD 177565 b,15.1
HD 177830 b,537.1327
HD 177830 c,47.6725
HD 178911 B b,2552.1749
HD 179079 b,25.74423
HD 180053 b,697.31902
HD 180314 b,7216.92964
HD 180617 b,12.214
HD 180902 b,535.54355
HD 181342 b,807.2882
HD 18143 b,10.80617
HD 181433 b,6.3566
HD 181433 c,203
HD 181433 d,171
HD 181720 b,127.132
HD 183263 b,1103.1824
HD 184010 b,98.52681
HD 184010 c,95.34852
HD 184010 d,143.02278
HD 18438 b,6674.39655
HD 185269 b,321.0083
HD 187085 b,265.70588
HD 187123 b,166.218
HD 187123 c,632.46
HD 18742 b,1080.622
HD 188015 b,476.72
HD 189567 b,8.5
HD 189567 c,7
HD 190007 b,15.5
HD 190360 c,19.069
HD 190647 b,630.89255
HD 191939 e,112.2
HD 191939 f,660
HD 191939 g,13.5
HD 192263 b,177.9848
HD 192699 b,666.17168
HD 195019 b,1264.9634
HD 19615 b,2701.54146
HD 196885 A b,819.97
HD 197037 b,251
HD 199509 b,43.22466
HD 19994 b,435.41
HD 20003 b,11.66
HD 20003 c,14.44
HD 200964 b,508.21017
HD 200964 c,385.84562
HD 203387 b,1106.04286
HD 2039 b,1999.1507
HD 204313 c,17.16273
HD 204941 b,73.1009
HD 205158 b,124.58874
HD 205739 b,435.41
HD 206255 b,34.2
HD 206610 b,647.10188
HD 20781 b,1.93
HD 20781 c,5.33
HD 20781 d,10.61
HD 20781 e,14.03
HD 20782 b,472.83
HD 207832 b,177.9848
HD 207832 c,232.0159
HD 20794 e,4.77
HD 208487 b,165.265
HD 208527 b,3146.4
HD 20868 b,397.2875
HD 208897 b,379.48712
HD 210193 b,153.1
HD 210277 b,410.0007
HD 210702 b,481.51004
